show_id,title,genre,duration,broadcast_date,rating,views
112,EastEnders,Sports,45 min,19 Sep 2022,4.6,?
113,Strictly Come Dancing,Reality,60,2023-05-24,3.2,N/A
114,Top Gear,Sci-Fi,,12 Apr 2024,N/A,4784
115,Peaky Blinders,Comedy,30mins,20 Jan 2024,3.2,N/A
116,Doctor Who,Sports,90 min,12 Jun 2022,,N/A
117,EastEnders,Cooking,,28/03/2022,,N/A
118,Frozen Planet,Sports,,17 Oct 2023,,?
119,The Repair Shop,Reality,30mins,19 Dec 2022,2.4,4127
120,The Repair Shop,Comedy,60,04/12/2022,N/A,?
121,The Repair Shop,Reality,90 min,Jan 27 2024,8.6,4141
122,Planet Earth,Drama,60,15/01/2024,7.0,N/A
123,Luther,Sci-Fi,87,03 Feb 2022,4.2,
124,Luther,Reality,60,04 Oct 2022,,117
125,Strictly Come Dancing,Comedy,45 min,03 Feb 2023,N/A,N/A
126,EastEnders,Cooking,,08/01/2022,6.7,4459
127,The Repair Shop,Drama,60,Aug 01 2022,,?
128,Strictly Come Dancing,Drama,30mins,21 Oct 2022,5.2,?
129,Luther,Sci-Fi,,Jul 16 2022,N/A,
130,The Repair Shop,Sci-Fi,,04 Sep 2023,N/A,
131,Luther,Cooking,30mins,05/01/2024,N/A,N/A
132,Top Gear,Documentary,?,23 Apr 2023,N/A,
133,Strictly Come Dancing,Drama,120,22 Jun 2022,,N/A
134,Peaky Blinders,Reality,30mins,25/05/2023,6.9,?
135,Luther,Comedy,60,Jan 02 2024,,?
136,Doctor Who,Drama,71,08/04/2024,,N/A
137,Sherlock,Comedy,?,2022-01-01,,?
138,Luther,Documentary,45 min,26 May 2022,7.1,N/A
139,Top Gear,Cooking,60,Nov 02 2023,1.8,?
140,Match of the Day,Documentary,22,2023-06-14,2.7,?
141,Sherlock,Reality,,Mar 01 2023,1.1,N/A
142,Top Gear,Documentary,?,Jan 30 2023,,
143,Luther,Sports,?,2024-05-06,N/A,1789
144,The Apprentice,Cooking,60,25 Apr 2024,3.1,
145,Peaky Blinders,Sci-Fi,30mins,01/09/2022,N/A,N/A
146,The Apprentice,Documentary,?,04 Jan 2022,,
147,Luther,Cooking,,2022-09-05,N/A,?
148,EastEnders,Comedy,,30 Mar 2023,,N/A
149,Strictly Come Dancing,Documentary,60,Mar 26 2024,,?
150,Planet Earth,Drama,60,Feb 01 2022,,
151,Strictly Come Dancing,Cooking,60,Apr 29 2022,3.0,?
152,Strictly Come Dancing,Sci-Fi,45 min,21/05/2022,N/A,
153,Frozen Planet,Cooking,55,17/01/2022,N/A,N/A
154,Match of the Day,Cooking,90 min,2024-02-22,N/A,666
155,Sherlock,Drama,45 min,10 Mar 2024,N/A,
156,Doctor Who,Sci-Fi,77,06/11/2022,9.8,
157,Match of the Day,Comedy,30mins,31 Aug 2023,5.3,
158,Sherlock,Reality,45 min,Nov 23 2023,N/A,1606
159,The Apprentice,Cooking,?,Feb 14 2024,N/A,?
160,Top Gear,Drama,45 min,2023-02-05,N/A,?
161,Peaky Blinders,Drama,90 min,2023-03-02,9.2,1042
162,Peaky Blinders,Sci-Fi,?,30 Aug 2022,N/A,
163,Planet Earth,Documentary,?,23/02/2024,N/A,N/A
164,Sherlock,Reality,45 min,27 Jan 2023,,
165,Planet Earth,Drama,45 min,Mar 19 2023,,
166,EastEnders,Sports,25,2022-06-03,,
167,Match of the Day,Sports,90 min,08 Apr 2023,N/A,
168,The Repair Shop,Sports,30mins,23/07/2023,,
169,Peaky Blinders,Drama,45 min,2024-01-25,,
170,Planet Earth,Cooking,90 min,14/04/2024,N/A,
171,Doctor Who,Reality,?,2023-06-26,N/A,2044
172,Strictly Come Dancing,Reality,30mins,25 Nov 2022,N/A,1924
173,Frozen Planet,Reality,45 min,28 Jan 2023,N/A,N/A
174,EastEnders,Sports,,Aug 26 2023,9.7,?
175,Luther,Reality,?,07 Sep 2022,6.8,?
176,Planet Earth,Reality,45 min,2022-12-30,N/A,
177,EastEnders,Reality,?,2024-05-24,,
178,Top Gear,Cooking,?,25/09/2022,,?
179,Top Gear,Sports,60,Mar 11 2024,5.3,?
180,Top Gear,Comedy,110,03/11/2023,9.4,2253
181,Luther,Drama,30mins,07 Mar 2022,1.4,2886
182,Peaky Blinders,Drama,45 min,2024-05-11,,N/A
183,Peaky Blinders,Cooking,90 min,01/04/2023,2.5,4707
184,Top Gear,Reality,90 min,2022-04-07,,N/A
185,The Repair Shop,Reality,45 min,2022-05-21,,?
186,Strictly Come Dancing,Drama,?,2022-08-08,,?
187,Sherlock,Sci-Fi,,28 Mar 2024,N/A,
188,Sherlock,Drama,,18 Nov 2023,4.8,
189,Luther,Drama,45 min,04 Oct 2023,,1210
190,The Repair Shop,Comedy,45 min,03 Sep 2023,N/A,
191,Luther,Cooking,45 min,17 Mar 2023,4.8,
192,The Repair Shop,Comedy,90 min,08 Sep 2022,,1578
193,Strictly Come Dancing,Sci-Fi,60,09/10/2022,6.6,?
194,Match of the Day,Cooking,90 min,Aug 26 2022,1.9,?
195,Frozen Planet,Sports,113,2022-06-19,,?
196,The Apprentice,Cooking,?,19 May 2022,,2413
197,Strictly Come Dancing,Sports,,08/02/2024,,?
198,Doctor Who,Comedy,,12/03/2023,,
199,Luther,Drama,60,17 Sep 2023,N/A,
200,Luther,Sci-Fi,?,30/01/2022,,4000
201,EastEnders,Comedy,?,Sep 27 2023,,4256
202,Doctor Who,Cooking,90 min,14 Jan 2022,,
203,Peaky Blinders,Cooking,,04 Dec 2023,9.7,2616
204,Peaky Blinders,Comedy,32,23/05/2023,,N/A
205,Peaky Blinders,Drama,64,05 Oct 2023,N/A,?
206,Match of the Day,Sports,60,15 Aug 2022,7.3,1652
207,Doctor Who,Sports,45 min,21/12/2022,,?
208,Planet Earth,Sci-Fi,60,10 Mar 2024,N/A,
209,The Apprentice,Drama,?,Mar 24 2024,N/A,3681
210,Strictly Come Dancing,Sports,30mins,Apr 05 2024,N/A,?
211,Planet Earth,Sci-Fi,?,22 Mar 2022,8.0,?
212,The Repair Shop,Sci-Fi,45 min,13/10/2022,9.1,?
213,Planet Earth,Drama,90 min,Dec 21 2023,,3431
214,Match of the Day,Drama,,06/11/2022,,N/A
215,Sherlock,Cooking,,2024-01-22,N/A,?
216,Sherlock,Cooking,46,23 Sep 2023,9.2,1118
217,Doctor Who,Documentary,60,16/06/2022,4.5,N/A
218,Luther,Sports,,May 01 2022,N/A,?
219,EastEnders,Sports,90 min,28 Feb 2023,,1029
220,Sherlock,Drama,114,24 Nov 2023,N/A,
221,EastEnders,Cooking,60,24/10/2023,1.2,N/A
222,Frozen Planet,Sci-Fi,45 min,2022-08-31,,?
223,Peaky Blinders,Comedy,30mins,16 Feb 2024,N/A,3979
224,Strictly Come Dancing,Sci-Fi,?,08 Feb 2022,,1452
225,Luther,Cooking,60,01 Dec 2022,8.9,
226,Match of the Day,Reality,30mins,05 Apr 2023,8.0,
227,EastEnders,Reality,30mins,01/01/2024,7.5,?
228,Frozen Planet,Sci-Fi,30mins,07/07/2023,,?
229,EastEnders,Documentary,30mins,2023-05-15,,N/A
230,Sherlock,Sci-Fi,90 min,Aug 24 2022,,?
231,The Apprentice,Cooking,60,22/03/2022,N/A,N/A
232,Top Gear,Comedy,60,24/05/2022,,?
233,The Repair Shop,Sci-Fi,88,12 Oct 2023,5.5,4288
234,Peaky Blinders,Sci-Fi,,18 Mar 2024,6.7,N/A
235,The Apprentice,Documentary,?,Oct 09 2023,,?
236,Planet Earth,Sports,?,2023-01-30,5.1,N/A
237,The Apprentice,Sci-Fi,90 min,Jul 31 2022,N/A,?
238,EastEnders,Sports,60,Sep 04 2022,N/A,
239,Strictly Come Dancing,Comedy,60,2022-08-08,N/A,?
240,Strictly Come Dancing,Drama,90 min,Jun 17 2023,N/A,N/A
241,EastEnders,Cooking,90 min,25/11/2022,,?
242,Luther,Sports,30mins,15/01/2024,N/A,?
243,Match of the Day,Sci-Fi,30mins,14 Oct 2022,,
244,Sherlock,Cooking,107,02/09/2022,8.9,
245,Doctor Who,Reality,60,Jan 28 2024,5.8,N/A
246,Planet Earth,Sports,?,31 Jan 2022,5.4,N/A
247,Luther,Documentary,,Dec 12 2023,N/A,?
248,Top Gear,Sci-Fi,67,15/02/2022,,?
249,The Repair Shop,Sci-Fi,60,08/06/2024,N/A,4400
250,Top Gear,Cooking,,Mar 03 2024,N/A,
251,Luther,Reality,90 min,2023-02-06,N/A,1939
252,EastEnders,Reality,45 min,Mar 04 2023,N/A,
253,Sherlock,Documentary,90 min,20/05/2023,N/A,
254,The Apprentice,Cooking,?,2022-12-06,,
255,Sherlock,Cooking,30mins,2023-11-05,5.8,
256,The Repair Shop,Drama,30mins,24/04/2024,N/A,?
257,Top Gear,Sports,90 min,Feb 01 2024,,
258,Peaky Blinders,Documentary,?,18/03/2022,,?
259,Peaky Blinders,Sports,90 min,Oct 28 2022,N/A,4087
260,Peaky Blinders,Sci-Fi,?,20/03/2022,4.3,
261,Sherlock,Reality,90 min,08 Mar 2024,5.6,N/A
262,Peaky Blinders,Comedy,60,03 Dec 2022,,?
263,Frozen Planet,Comedy,?,2022-02-24,2.6,?
264,Peaky Blinders,Documentary,90 min,18/11/2023,,769
265,Sherlock,Sci-Fi,69,16/03/2022,N/A,
266,The Apprentice,Sports,30mins,03/03/2023,9.4,3883
267,Peaky Blinders,Cooking,45 min,Jan 05 2023,,3009
268,Peaky Blinders,Sci-Fi,95,19 Feb 2024,N/A,
269,Sherlock,Sports,30mins,Aug 29 2022,2.3,4051
270,The Apprentice,Comedy,30mins,2022-08-07,,?
271,Planet Earth,Documentary,24,22 Feb 2024,N/A,?
272,Strictly Come Dancing,Cooking,107,Jan 10 2022,9.1,
273,Sherlock,Reality,101,01/09/2022,N/A,4072
274,Match of the Day,Drama,30mins,23 May 2024,,
275,Top Gear,Drama,?,12 Nov 2023,10.0,
276,Frozen Planet,Documentary,90 min,2024-06-03,N/A,
277,The Apprentice,Reality,90 min,29 Nov 2022,,
278,Peaky Blinders,Reality,?,26/07/2022,7.4,N/A
279,EastEnders,Documentary,,Feb 17 2022,,N/A
280,Peaky Blinders,Drama,30mins,2022-11-03,,1962
281,Peaky Blinders,Comedy,45 min,Oct 19 2023,,
282,The Repair Shop,Sci-Fi,110,02 Jun 2023,4.9,
283,Peaky Blinders,Reality,74,Aug 28 2023,N/A,
284,Strictly Come Dancing,Reality,60,24 Nov 2023,3.1,?
285,The Repair Shop,Drama,,17 Jun 2024,7.1,4737
286,Strictly Come Dancing,Sports,,11/03/2024,4.0,
287,Top Gear,Reality,30mins,04 Jun 2023,3.4,2803
288,Peaky Blinders,Cooking,90 min,27 Jan 2023,5.5,?
289,Match of the Day,Reality,63,2024-02-05,,199
290,The Repair Shop,Sports,45 min,Mar 04 2023,,N/A
291,The Apprentice,Sci-Fi,?,25/09/2022,3.8,1786
292,The Apprentice,Drama,?,2022-05-08,9.8,N/A
293,EastEnders,Sports,47,25 Feb 2022,6.8,3117
294,Peaky Blinders,Documentary,45 min,31 Aug 2023,8.8,N/A
295,Planet Earth,Sci-Fi,90 min,06 Nov 2023,N/A,
296,Top Gear,Cooking,45 min,Jun 30 2023,,?
297,EastEnders,Documentary,60,24 Mar 2024,,3212
298,Frozen Planet,Sports,,Oct 22 2022,,?
299,Doctor Who,Comedy,90 min,08 Mar 2024,7.8,?
300,The Repair Shop,Drama,30mins,2023-08-05,N/A,?
301,Doctor Who,Sci-Fi,90 min,2023-07-22,N/A,2334
302,Top Gear,Reality,60,Apr 09 2022,N/A,N/A
303,Doctor Who,Documentary,90 min,12 Jul 2022,,?
304,Planet Earth,Drama,?,2022-09-03,9.6,
305,Strictly Come Dancing,Documentary,30mins,Sep 05 2022,N/A,N/A
306,Match of the Day,Documentary,60,2023-09-16,N/A,?
307,Peaky Blinders,Reality,?,Jan 28 2022,N/A,
308,Doctor Who,Reality,39,Mar 03 2023,1.9,?
309,The Apprentice,Reality,,Sep 30 2022,,2554
310,Top Gear,Sci-Fi,,30 Apr 2024,5.3,N/A
311,Frozen Planet,Sci-Fi,45 min,06 Jan 2023,,?
312,Strictly Come Dancing,Cooking,90 min,2022-12-19,,
313,Planet Earth,Documentary,90 min,Dec 23 2022,N/A,
314,Sherlock,Sports,70,2023-01-27,4.8,?
315,Frozen Planet,Drama,,2022-10-05,N/A,2790
316,Peaky Blinders,Drama,30mins,13/01/2023,8.1,N/A
317,EastEnders,Comedy,30mins,Jan 01 2022,N/A,?
318,Top Gear,Documentary,90 min,May 11 2024,N/A,?
319,Planet Earth,Drama,60,03/06/2023,N/A,N/A
320,Luther,Comedy,30mins,17 Jan 2024,9.5,N/A
321,Strictly Come Dancing,Sci-Fi,60,Feb 12 2024,,N/A
322,Match of the Day,Sci-Fi,90 min,May 14 2023,3.0,
323,Strictly Come Dancing,Reality,80,Oct 12 2022,N/A,?
324,Doctor Who,Cooking,36,13/05/2022,N/A,4753
325,EastEnders,Comedy,?,Feb 02 2024,,1944
326,Luther,Reality,90 min,10 Oct 2023,N/A,4864
327,Top Gear,Sports,90 min,Dec 07 2022,N/A,?
328,Top Gear,Cooking,,2024-04-16,,
329,Doctor Who,Reality,?,25 Oct 2022,,
330,Peaky Blinders,Cooking,90 min,Aug 31 2022,4.3,104
331,Luther,Comedy,60,05/09/2022,1.5,
332,Luther,Comedy,90 min,2023-08-26,,
333,Peaky Blinders,Comedy,?,2022-07-01,,N/A
334,Doctor Who,Sci-Fi,60,29 May 2022,5.7,?
335,Top Gear,Documentary,,2022-01-08,4.1,
336,Planet Earth,Comedy,90 min,27/03/2024,9.4,N/A
337,Frozen Planet,Sports,60,May 23 2022,4.4,?
338,Frozen Planet,Comedy,,01/05/2023,N/A,
339,Doctor Who,Sports,45 min,Oct 05 2022,,N/A
340,Luther,Sci-Fi,,31 Jan 2024,,2525
341,Sherlock,Comedy,60,25/03/2024,,2658
342,Top Gear,Comedy,85,Apr 26 2022,,N/A
343,Planet Earth,Reality,60,17 Mar 2024,1.7,
344,EastEnders,Sports,60,2024-05-10,,599
345,Sherlock,Cooking,,Jan 07 2022,N/A,?
346,Luther,Documentary,30mins,Jun 25 2022,N/A,N/A
347,The Apprentice,Drama,30,12 Jun 2023,N/A,1027
348,Planet Earth,Drama,45 min,16 Sep 2022,N/A,
349,Luther,Documentary,45 min,May 07 2022,,1161
350,Sherlock,Sci-Fi,?,2024-06-01,N/A,?
351,Luther,Cooking,60,04/08/2023,,?
352,Top Gear,Drama,30mins,21 Nov 2022,1.6,543
353,Strictly Come Dancing,Documentary,,09/12/2022,N/A,N/A
354,EastEnders,Drama,?,31/05/2022,9.1,N/A
355,Top Gear,Sports,?,30/08/2023,2.9,?
356,Top Gear,Comedy,45 min,01 Feb 2024,,4568
357,Planet Earth,Comedy,45 min,30/05/2022,7.0,N/A
358,Planet Earth,Cooking,?,May 28 2022,2.5,?
359,Luther,Drama,90 min,15/03/2023,7.1,N/A
360,Planet Earth,Drama,90 min,10/01/2024,3.2,?
361,Frozen Planet,Cooking,,2022-12-31,,
362,The Apprentice,Comedy,?,03/08/2023,N/A,
363,Top Gear,Reality,45 min,2024-02-17,9.4,4895
364,Top Gear,Sci-Fi,45 min,2023-02-15,7.1,
365,The Apprentice,Reality,90 min,2022-08-22,N/A,2771
366,Peaky Blinders,Reality,60,Apr 08 2022,3.7,N/A
367,Match of the Day,Reality,117,2023-10-16,,
368,Sherlock,Documentary,,31 Jul 2022,,
369,Frozen Planet,Sports,?,18 Mar 2022,,N/A
370,Top Gear,Cooking,,2022-09-26,N/A,1490
371,Doctor Who,Sports,?,2023-01-22,8.8,
372,Planet Earth,Documentary,60,02/02/2022,,
373,The Apprentice,Sci-Fi,45 min,07/03/2022,,
374,Frozen Planet,Sports,90 min,2022-04-10,N/A,N/A
375,Strictly Come Dancing,Sci-Fi,,11/10/2022,2.7,
376,Luther,Documentary,,2024-03-15,,
377,EastEnders,Reality,?,14/12/2022,3.3,4170
378,Sherlock,Reality,118,01 Jun 2024,,N/A
379,Luther,Drama,?,Nov 15 2022,3.6,?
380,Peaky Blinders,Reality,,22/02/2022,7.8,3873
381,Frozen Planet,Sports,,Feb 05 2023,N/A,
382,Top Gear,Comedy,,2022-08-21,N/A,
383,The Repair Shop,Drama,60,May 21 2022,N/A,N/A
384,Sherlock,Cooking,60,30 Jun 2022,,N/A
385,The Repair Shop,Cooking,63,2022-09-20,,2639
386,Peaky Blinders,Drama,?,Jun 16 2024,N/A,?
387,Planet Earth,Reality,60,2024-04-27,9.4,N/A
388,Strictly Come Dancing,Cooking,45 min,26/11/2023,N/A,?
389,Planet Earth,Comedy,45 min,07/02/2022,N/A,1706
390,Peaky Blinders,Comedy,45 min,30/06/2022,,?
391,EastEnders,Comedy,?,13 Mar 2024,N/A,N/A
392,Frozen Planet,Cooking,,30 Apr 2022,,
393,The Apprentice,Sports,85,2022-03-25,,N/A
394,Sherlock,Reality,60,12/04/2024,7.9,
395,The Repair Shop,Reality,73,Oct 26 2023,N/A,442
396,Luther,Documentary,,2024-05-30,N/A,3845
397,The Repair Shop,Comedy,,28/05/2024,,4385
398,Match of the Day,Sci-Fi,60,May 25 2023,,
399,Planet Earth,Documentary,45 min,28/04/2022,6.8,N/A
400,The Repair Shop,Sports,44,Dec 12 2022,N/A,
401,Luther,Reality,52,21/07/2022,,?
402,Planet Earth,Drama,60,27/12/2022,,
403,Match of the Day,Sci-Fi,45 min,Apr 12 2022,4.2,2210
404,Doctor Who,Comedy,45 min,04/06/2024,N/A,
405,The Apprentice,Sci-Fi,60,Aug 29 2022,6.2,?
406,Sherlock,Sports,?,2024-01-27,,?
407,Doctor Who,Sci-Fi,105,Dec 25 2023,N/A,
408,Planet Earth,Sci-Fi,60,Apr 14 2024,8.2,?
409,Top Gear,Documentary,28,12 Apr 2023,N/A,
410,Peaky Blinders,Cooking,90 min,Feb 01 2023,N/A,369
411,Planet Earth,Comedy,90 min,2023-06-22,,?
412,Planet Earth,Sci-Fi,48,08 Jan 2024,,?
413,Sherlock,Cooking,30mins,Sep 12 2023,5.6,?
414,Planet Earth,Cooking,60,16/02/2023,,N/A
415,Doctor Who,Reality,,2022-09-27,N/A,N/A
416,Strictly Come Dancing,Reality,60,2022-11-14,6.4,
417,The Repair Shop,Documentary,98,Jan 27 2023,5.2,?
418,Frozen Planet,Comedy,65,Feb 11 2024,N/A,?
419,Peaky Blinders,Comedy,90 min,27 Dec 2023,,
420,Peaky Blinders,Sports,?,19/12/2023,8.4,?
421,Doctor Who,Reality,30mins,2023-12-15,,?
422,Strictly Come Dancing,Sports,30mins,21/09/2023,N/A,N/A
423,Strictly Come Dancing,Drama,?,2023-03-12,N/A,N/A
424,Luther,Drama,100,27/02/2024,N/A,N/A
425,Frozen Planet,Comedy,116,Nov 15 2022,2.8,2586
426,Strictly Come Dancing,Cooking,,Aug 06 2022,,3512
427,Planet Earth,Comedy,94,May 09 2024,2.9,?
428,Sherlock,Drama,45 min,Apr 27 2023,,N/A
429,The Apprentice,Sports,45 min,07/05/2023,,
430,Frozen Planet,Comedy,30mins,May 13 2024,7.9,N/A
431,Top Gear,Cooking,90 min,Jan 21 2022,,?
432,Doctor Who,Sci-Fi,60,05/11/2023,,?
433,Sherlock,Sci-Fi,?,2022-12-19,,N/A
434,The Apprentice,Sports,,2023-04-01,N/A,2694
435,Peaky Blinders,Sci-Fi,,Oct 25 2022,1.7,N/A
436,Sherlock,Drama,45 min,20 Nov 2022,,
437,EastEnders,Reality,90 min,2022-08-19,,1357
438,Sherlock,Sci-Fi,60,Apr 24 2022,N/A,N/A
439,The Repair Shop,Cooking,60,28/01/2022,6.9,
440,Strictly Come Dancing,Drama,,23 Oct 2023,N/A,
441,Sherlock,Reality,30mins,26/12/2023,1.7,
442,Frozen Planet,Drama,90 min,2023-08-30,,?
443,Top Gear,Comedy,90 min,Nov 17 2022,,
444,Sherlock,Comedy,90 min,Sep 19 2023,8.1,2596
445,EastEnders,Documentary,,23 Nov 2022,N/A,?
446,The Repair Shop,Documentary,30mins,Aug 25 2023,8.1,N/A
447,Doctor Who,Reality,,Sep 03 2022,2.2,3538
448,EastEnders,Documentary,58,2022-05-29,7.2,?
449,EastEnders,Reality,30mins,17/05/2024,,N/A
450,Top Gear,Comedy,90 min,11/02/2022,2.8,?
451,Top Gear,Drama,45 min,20/10/2023,,N/A
452,Doctor Who,Documentary,?,16/04/2022,,N/A
453,Doctor Who,Sports,90 min,12/01/2022,9.5,N/A
454,Luther,Cooking,73,13/03/2023,7.2,?
455,Strictly Come Dancing,Cooking,?,2023-10-15,,
456,EastEnders,Sci-Fi,63,09 Apr 2024,N/A,4613
457,The Repair Shop,Sci-Fi,?,Aug 06 2022,4.4,N/A
458,Match of the Day,Documentary,45 min,04 Feb 2023,9.2,2316
459,EastEnders,Sports,45 min,2023-11-24,3.5,
460,Peaky Blinders,Cooking,101,2023-08-11,N/A,N/A
461,Frozen Planet,Sci-Fi,45 min,18 May 2024,N/A,
462,The Apprentice,Documentary,60,18 May 2024,,N/A
